timestamp,Эхо Москвы
2020-12-06 18:15:40.444475651,4786
2020-12-06 18:15:45.560536623,4809
2020-12-06 18:15:50.679572582,4806
2020-12-06 18:15:55.769923449,4795
2020-12-06 18:16:00.922794580,4817
2020-12-06 18:16:06.005150795,4836
2020-12-06 18:16:11.074271202,4852
2020-12-06 18:16:16.154839754,4886
2020-12-06 18:16:21.239788532,4898
2020-12-06 18:16:26.376775265,4890
2020-12-06 18:16:31.459442616,4901
2020-12-06 18:16:36.548089027,4906
2020-12-06 18:16:41.665608883,4948
2020-12-06 18:16:46.785775661,4937
2020-12-06 18:16:51.869558096,4913
2020-12-06 18:16:56.946851015,4913
2020-12-06 18:17:02.053711414,4991
2020-12-06 18:17:07.121873379,5007
2020-12-06 18:17:12.192889929,5026
2020-12-06 18:17:17.302847385,5046
2020-12-06 18:17:22.375603914,5038
2020-12-06 18:17:27.498460531,5074
2020-12-06 18:17:32.637952805,5081
2020-12-06 18:17:37.757273436,5068
2020-12-06 18:17:42.834208965,5075
2020-12-06 18:17:47.950797319,5098
2020-12-06 18:17:53.055530548,5124
2020-12-06 18:17:58.131252050,5158
2020-12-06 18:18:03.205432892,5175
2020-12-06 18:18:08.342882395,5170
2020-12-06 18:18:13.448631525,5209
2020-12-06 18:18:18.564782381,5228
2020-12-06 18:18:23.677647352,5224
2020-12-06 18:18:28.777333498,5238
2020-12-06 18:18:33.887026548,5253
2020-12-06 18:18:38.959233999,5247
2020-12-06 18:18:44.038329601,5265
2020-12-06 18:18:49.142313957,5267
2020-12-06 18:18:54.248571396,5267
2020-12-06 18:18:59.325481415,5287
2020-12-06 18:19:04.465237617,5300
2020-12-06 18:19:09.546877861,5293
2020-12-06 18:19:14.659088373,5314
2020-12-06 18:19:19.759975195,5325
2020-12-06 18:19:24.836928606,5340
2020-12-06 18:19:29.945060015,5388
2020-12-06 18:19:35.031931400,5417
2020-12-06 18:19:40.104909658,5413
2020-12-06 18:19:45.188181400,5445
2020-12-06 18:19:50.255655527,5472
2020-12-06 18:19:55.343300581,5491
2020-12-06 18:20:00.453600645,5538
2020-12-06 18:20:05.559683084,5574
2020-12-06 18:20:10.675476551,5590
2020-12-06 18:20:15.790664911,5626
2020-12-06 18:20:20.958324194,5667
2020-12-06 18:20:26.051446199,5678
2020-12-06 18:20:31.199743509,5717
2020-12-06 18:20:36.287766933,5732
2020-12-06 18:20:41.359053850,5729
2020-12-06 18:20:46.521827459,5751
2020-12-06 18:20:51.634456158,5763
2020-12-06 18:20:56.715322495,5794
2020-12-06 18:21:01.829645395,5794
2020-12-06 18:21:06.908213377,5803
2020-12-06 18:21:11.986598492,5828
2020-12-06 18:21:17.110460758,5854
2020-12-06 18:21:22.229596376,5866
2020-12-06 18:21:27.349323034,5889
2020-12-06 18:21:32.469956398,5901
2020-12-06 18:21:37.582857370,5899
2020-12-06 18:21:42.657361269,5915
2020-12-06 18:21:47.734042883,5925
2020-12-06 18:21:52.835083485,5922
2020-12-06 18:21:57.917910576,5944
2020-12-06 18:22:02.990778685,5962
2020-12-06 18:22:08.088511467,5957
2020-12-06 18:22:13.170732975,5976
2020-12-06 18:22:18.282803774,5995
2020-12-06 18:22:23.366370201,6000
2020-12-06 18:22:28.472068548,6020
2020-12-06 18:22:33.594169855,6038
2020-12-06 18:22:38.698755026,6038
2020-12-06 18:22:43.828126192,6061
2020-12-06 18:22:48.900115490,6068
2020-12-06 18:22:53.975697517,6062
2020-12-06 18:22:59.050952911,6079
2020-12-06 18:23:04.170618534,6091
2020-12-06 18:23:09.283253908,6098
2020-12-06 18:23:14.399685144,6093
2020-12-06 18:23:19.508317471,6109
2020-12-06 18:23:24.589931488,6092
2020-12-06 18:23:29.692542553,6109
2020-12-06 18:23:34.819703817,6134
2020-12-06 18:23:39.936924696,6122
2020-12-06 18:23:45.067003250,6155
2020-12-06 18:23:50.182044983,6184
2020-12-06 18:23:55.300124884,6188
2020-12-06 18:24:00.413893223,6193
2020-12-06 18:24:05.528628826,6212
2020-12-06 18:24:10.643200636,6215
2020-12-06 18:24:15.777050972,6233
2020-12-06 18:24:20.905307531,6253
2020-12-06 18:24:26.028790951,6241
2020-12-06 18:24:31.134696484,6252
2020-12-06 18:24:36.242359638,6245
2020-12-06 18:24:41.360147238,6249
2020-12-06 18:24:46.467511415,6274
2020-12-06 18:24:51.578260660,6278
2020-12-06 18:24:56.697351217,6278
2020-12-06 18:25:01.811188221,6325
2020-12-06 18:25:06.922964096,6336
2020-12-06 18:25:12.035561800,6356
2020-12-06 18:25:17.151670456,6381
2020-12-06 18:25:22.228450537,6385
2020-12-06 18:25:27.347560167,6396
2020-12-06 18:25:32.460215092,6412
2020-12-06 18:25:37.529234648,6408
2020-12-06 18:25:42.638458967,6422
2020-12-06 18:25:47.758514166,6438
2020-12-06 18:25:52.868419409,6440
2020-12-06 18:25:57.975150585,6467
2020-12-06 18:26:03.074490547,6485
2020-12-06 18:26:08.183807373,6480
2020-12-06 18:26:13.259768009,6510
2020-12-06 18:26:18.368975878,6535
2020-12-06 18:26:23.430801868,6538
2020-12-06 18:26:28.540837288,6558
2020-12-06 18:26:33.663675785,6569
2020-12-06 18:26:38.746186733,6568
2020-12-06 18:26:43.856810570,6569
2020-12-06 18:26:48.975793123,6595
2020-12-06 18:26:54.080094814,6585
2020-12-06 18:26:59.171838522,6603
